trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.837039895519489, 'e': 0.8039499273939532}",30,0,-116.24118727965627,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
110,False,"{'a': 0.8366387918802543, 'e': 0.8023420275391653}",35,0,-145.85455683813387,"{0: 20, 1: 4, 2: 9, 3: 1, 4: 1}",0
111,False,"{'a': 0.862242352351016, 'e': 0.800737343484087}",25,0,-116.34580147102614,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
112,False,"{'a': 0.8710873862522199, 'e': 0.7991358687971188}",20,2,-126.52942441720954,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 3}",1
113,False,"{'a': 0.9533932128175548, 'e': 0.7975375970595246}",30,0,-113.45479105595689,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
114,False,"{'a': 0.9121878492343293, 'e': 0.7959425218654056}",30,0,-162.3100226260827,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",1
115,False,"{'a': 0.7971844623719515, 'e': 0.7943506368216747}",35,0,-136.58619519885346,"{0: 23, 1: 4, 2: 5, 3: 1, 4: 2}",0
116,False,"{'a': 0.9297840229818355, 'e': 0.7927619355480314}",30,0,-66.41883358174077,"{0: 22, 1: 4, 2: 1, 3: 3, 4: 0}",0
117,False,"{'a': 0.9474486816466603, 'e': 0.7911764116769353}",35,0,-163.51541611537894,"{0: 26, 1: 3, 2: 2, 3: 0, 4: 4}",0
118,False,"{'a': 0.8690525276621268, 'e': 0.7895940588535815}",20,0,-132.21754407290805,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
119,False,"{'a': 0.8815936133026223, 'e': 0.7880148707358743}",35,21,-108.2039307622972,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
120,False,"{'a': 0.9002698649283651, 'e': 0.7864388409944025}",25,11,-23.273805342167975,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.8604125967351052, 'e': 0.7848659633124138}",30,17,-24.757917896211982,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.9032995908314442, 'e': 0.783296231385789}",30,0,-250.60269358000738,"{0: 17, 1: 1, 2: 5, 3: 3, 4: 4}",0
123,False,"{'a': 0.9492813004333048, 'e': 0.7817296389230174}",25,0,-38.36071753631198,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
124,False,"{'a': 0.8713653370027391, 'e': 0.7801661796451713}",20,0,-118.4508904914816,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
125,False,"{'a': 0.8617715924773588, 'e': 0.778605847285881}",25,0,-47.293539129697365,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
126,False,"{'a': 0.8547986282811906, 'e': 0.7770486355913092}",35,0,-213.76127961679092,"{0: 20, 1: 5, 2: 5, 3: 2, 4: 3}",0
127,False,"{'a': 0.8489595430285997, 'e': 0.7754945383201266}",25,0,-159.72129299681944,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
128,False,"{'a': 0.805873902088101, 'e': 0.7739435492434863}",25,0,-53.12609334884819,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
129,False,"{'a': 0.8996830046853361, 'e': 0.7723956621449993}",20,0,-69.58110924354283,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
130,False,"{'a': 0.9147145324854129, 'e': 0.7708508708207094}",30,0,-60.997711916459025,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
131,False,"{'a': 0.9334186558235228, 'e': 0.769309169079068}",25,0,-77.09628901518902,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.8064713544069436, 'e': 0.7677705507409098}",20,8,-78.24581945402569,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 2}",1
133,False,"{'a': 0.7888844999036374, 'e': 0.766235009639428}",20,1,-20.337161896979865,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
134,False,"{'a': 0.8087953673515998, 'e': 0.7647025396201492}",25,0,-48.883840658773856,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
