trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
244,False,"{'a': 0.08609689350726446, 'e': 0.08609689350726446}",25,11,26.951826302222482,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.08523592457219181, 'e': 0.08523592457219181}",30,4,31.96508104725668,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.0843835653264699, 'e': 0.0843835653264699}",20,0,28.776624659091137,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.0835397296732052, 'e': 0.0835397296732052}",25,11,26.119037448194224,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.08270433237647315, 'e': 0.08270433237647315}",25,7,16.02575916398268,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.08187728905270841, 'e': 0.08187728905270841}",25,5,29.361109254910218,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.08105851616218133, 'e': 0.08105851616218133}",20,1,11.789959284997252,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.08024793100055952, 'e': 0.08024793100055952}",30,24,13.051813730954622,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.07944545169055392, 'e': 0.07944545169055392}",25,9,24.88370924104574,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.07865099717364837, 'e': 0.07865099717364837}",25,7,35.568798410946236,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.07786448720191189, 'e': 0.07786448720191189}",20,14,10.843905371021199,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.07708584232989277, 'e': 0.07708584232989277}",25,17,-7.224077496442203,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
256,False,"{'a': 0.07631498390659384, 'e': 0.07631498390659384}",25,11,25.26171512557239,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.07555183406752791, 'e': 0.07555183406752791}",35,25,6.014683583425972,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
258,False,"{'a': 0.07479631572685264, 'e': 0.07479631572685264}",25,11,25.17703776197466,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.07404835256958411, 'e': 0.07404835256958411}",20,6,5.22632137473773,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.07330786904388827, 'e': 0.07330786904388827}",25,20,9.359464463432444,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.07257479035344938, 'e': 0.07257479035344938}",25,9,27.969744813317973,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
